"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2000000;"PODLASKIE";"studenci kobiety";"2019";17111;"osoba";"";
2000000;"PODLASKIE";"studenci kobiety";"2020";16870;"osoba";"";
2000000;"PODLASKIE";"studenci kobiety";"2021";17426;"osoba";"";
2000000;"PODLASKIE";"studenci kobiety";"2022";17300;"osoba";"";
2000000;"PODLASKIE";"studenci kobiety";"2023";17352;"osoba";"";
2000000;"PODLASKIE";"studenci kobiety";"2024";18006;"osoba";"";
2000000;"PODLASKIE";"studenci mężczyźni";"2019";11777;"osoba";"";
2000000;"PODLASKIE";"studenci mężczyźni";"2020";11493;"osoba";"";
2000000;"PODLASKIE";"studenci mężczyźni";"2021";11430;"osoba";"";
2000000;"PODLASKIE";"studenci mężczyźni";"2022";11319;"osoba";"";
2000000;"PODLASKIE";"studenci mężczyźni";"2023";11179;"osoba";"";
2000000;"PODLASKIE";"studenci mężczyźni";"2024";11615;"osoba";"";
2200000;"POMORSKIE";"studenci kobiety";"2019";48699;"osoba";"";
2200000;"POMORSKIE";"studenci kobiety";"2020";50727;"osoba";"";
2200000;"POMORSKIE";"studenci kobiety";"2021";51705;"osoba";"";
2200000;"POMORSKIE";"studenci kobiety";"2022";52865;"osoba";"";
2200000;"POMORSKIE";"studenci kobiety";"2023";54173;"osoba";"";
2200000;"POMORSKIE";"studenci kobiety";"2024";56219;"osoba";"";
2200000;"POMORSKIE";"studenci mężczyźni";"2019";34329;"osoba";"";
2200000;"POMORSKIE";"studenci mężczyźni";"2020";35512;"osoba";"";
2200000;"POMORSKIE";"studenci mężczyźni";"2021";35210;"osoba";"";
2200000;"POMORSKIE";"studenci mężczyźni";"2022";36450;"osoba";"";
2200000;"POMORSKIE";"studenci mężczyźni";"2023";37072;"osoba";"";
2200000;"POMORSKIE";"studenci mężczyźni";"2024";38848;"osoba";"";
2400000;"ŚLĄSKIE";"studenci kobiety";"2019";65358;"osoba";"";
2400000;"ŚLĄSKIE";"studenci kobiety";"2020";66450;"osoba";"";
2400000;"ŚLĄSKIE";"studenci kobiety";"2021";67946;"osoba";"";
2400000;"ŚLĄSKIE";"studenci kobiety";"2022";67655;"osoba";"";
2400000;"ŚLĄSKIE";"studenci kobiety";"2023";67377;"osoba";"";
2400000;"ŚLĄSKIE";"studenci kobiety";"2024";69790;"osoba";"";
2400000;"ŚLĄSKIE";"studenci mężczyźni";"2019";47338;"osoba";"";
2400000;"ŚLĄSKIE";"studenci mężczyźni";"2020";47899;"osoba";"";
2400000;"ŚLĄSKIE";"studenci mężczyźni";"2021";47755;"osoba";"";
2400000;"ŚLĄSKIE";"studenci mężczyźni";"2022";48255;"osoba";"";
2400000;"ŚLĄSKIE";"studenci mężczyźni";"2023";48467;"osoba";"";
2400000;"ŚLĄSKIE";"studenci mężczyźni";"2024";51312;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci kobiety";"2019";12257;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci kobiety";"2020";12082;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci kobiety";"2021";12373;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci kobiety";"2022";11885;"osoba";"";
