"Kod";"Nazwa";"Stypendia";"Typy instytucji";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";8086;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";8084;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";8351;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2019";11329;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2020";10855;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2021";11604;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2022";11206;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2023";11486;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2024";12024;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";1888;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";2144;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium socjalne";"uczelnie ogółem";"2019";15575;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium socjalne";"uczelnie ogółem";"2020";11921;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium socjalne";"uczelnie ogółem";"2021";9655;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium socjalne";"uczelnie ogółem";"2022";8371;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium socjalne";"uczelnie ogółem";"2023";7761;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium socjalne";"uczelnie ogółem";"2024";7448;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium rektora";"uczelnie ogółem";"2019";15909;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium rektora";"uczelnie ogółem";"2020";16937;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium rektora";"uczelnie ogółem";"2021";18554;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium rektora";"uczelnie ogółem";"2022";17805;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium rektora";"uczelnie ogółem";"2023";17113;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium rektora";"uczelnie ogółem";"2024";15725;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";3406;"osoba";"";
1400000;"MAZOWIECKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";3601;"osoba";"";
